INFO 2024-08-07 14:01:35,381 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-07 14:01:35,382 autoreload Waiting for apps ready_event.
DEBUG 2024-08-07 14:01:35,411 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-07 14:01:35,423 autoreload Watching dir D:\Code\Python\DjangoProject\DjangoBlog\templates with glob **/*.
DEBUG 2024-08-07 14:01:35,424 autoreload Watching dir D:\Code\Python\DjangoProject\.venv\Lib\site-packages\password_reset\templates with glob **/*.
DEBUG 2024-08-07 14:01:35,424 autoreload Watching dir D:\Code\Python\DjangoProject\DjangoBlog\locale with glob **/*.mo.
DEBUG 2024-08-07 14:01:35,424 autoreload Watching dir D:\Code\Python\DjangoProject\DjangoBlog\article\locale with glob **/*.mo.
DEBUG 2024-08-07 14:01:35,425 autoreload Watching dir D:\Code\Python\DjangoProject\DjangoBlog\userprofile\locale with glob **/*.mo.
DEBUG 2024-08-07 14:01:35,425 autoreload Watching dir D:\Code\Python\DjangoProject\.venv\Lib\site-packages\password_reset\locale with glob **/*.mo.
DEBUG 2024-08-07 14:01:35,476 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-07 14:01:35,479 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-07 14:01:35,597 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1721790081.5883017
DEBUG 2024-08-07 14:01:35,597 autoreload File C:\Python312\Lib\multiprocessing\process.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,598 autoreload File C:\Python312\Lib\re\_constants.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,598 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1721790081.8911307
DEBUG 2024-08-07 14:01:35,598 autoreload File C:\Python312\Lib\sqlite3\__init__.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,598 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1721790081.6640465
DEBUG 2024-08-07 14:01:35,598 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1721790081.8375728
DEBUG 2024-08-07 14:01:35,598 autoreload File C:\Python312\Lib\urllib\__init__.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,598 autoreload File C:\Python312\Lib\email\base64mime.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,600 autoreload File C:\Python312\Lib\multiprocessing\context.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,600 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1721790081.4787743
DEBUG 2024-08-07 14:01:35,600 autoreload File C:\Python312\Lib\inspect.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,600 autoreload File D:\Code\Python\DjangoProject\DjangoBlog\userprofile\urls.py first seen with mtime 1722870152.7778108
DEBUG 2024-08-07 14:01:35,600 autoreload File C:\Python312\Lib\asyncio\base_futures.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,601 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\markdown\postprocessors.py first seen with mtime 1721867044.695879
DEBUG 2024-08-07 14:01:35,601 autoreload File C:\Python312\Lib\asyncio\futures.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,601 autoreload File C:\Python312\Lib\email\encoders.py first seen with mtime 1717674852.0
DEBUG 2024-08-07 14:01:35,602 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\markdown\serializers.py first seen with mtime 1721867044.6983216
DEBUG 2024-08-07 14:01:35,602 autoreload File D:\Code\Python\DjangoProject\.venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1721790079.3913362
